"","key_index","analysis_type","analysis_var_1","analysis_var_value_1","group_var_1","group_var_value_1","nb_analysis_var","nb_group_var","X","stat","sector","indicator","analysis_level","label::English","label::Arabic"
"1","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_listen_to_anyone_in_our_community","NA","NA",1,1,621,30,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"2","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_speak_to_anyone_in_our_community @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_speak_to_anyone_in_our_community","NA","NA",1,1,622,22,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"3","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_listen_to_local_leaders_head_men @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","only_listen_to_local_leaders_head_men","NA","NA",1,1,623,22,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"4","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_speak_to_local_leaders_head_men @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","only_speak_to_local_leaders_head_men","NA","NA",1,1,624,15,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"5","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ when_we_give_them_feedback_or_make_complaints_nothing_changes @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","when_we_give_them_feedback_or_make_complaints_nothing_changes","NA","NA",1,1,625,26,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"6","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_provide_enough_information_about_registration_eligibility_or_distributions @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_provide_enough_information_about_registration_eligibility_or_distributions","NA","NA",1,1,626,19,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"7","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ show_lack_of_respect_for_local_cultures @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","show_lack_of_respect_for_local_cultures","NA","NA",1,1,627,1,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"8","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ are_disrespectful_in_their_interactions_with_individual_members_of_our_community @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","are_disrespectful_in_their_interactions_with_individual_members_of_our_community","NA","NA",1,1,628,4,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"9","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ asked_for_favors_in_exchange_for_the_aid_service @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","asked_for_favors_in_exchange_for_the_aid_service","NA","NA",1,1,629,0,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"10","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ other @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","other","NA","NA",1,1,630,2,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
