"","key_index","analysis_type","analysis_var_1","analysis_var_value_1","group_var_1","group_var_value_1","group_var_2","group_var_value_2","nb_analysis_var","nb_group_var","stat","sector","indicator","analysis_level","label::English","label::Arabic"
"1","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_listen_to_anyone_in_our_community","NA","NA",NA,NA,1,1,30,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"2","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_speak_to_anyone_in_our_community @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_speak_to_anyone_in_our_community","NA","NA",NA,NA,1,1,22,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"3","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_listen_to_local_leaders_head_men @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","only_listen_to_local_leaders_head_men","NA","NA",NA,NA,1,1,22,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"4","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_speak_to_local_leaders_head_men @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","only_speak_to_local_leaders_head_men","NA","NA",NA,NA,1,1,15,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"5","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ when_we_give_them_feedback_or_make_complaints_nothing_changes @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","when_we_give_them_feedback_or_make_complaints_nothing_changes","NA","NA",NA,NA,1,1,26,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"6","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_provide_enough_information_about_registration_eligibility_or_distributions @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_provide_enough_information_about_registration_eligibility_or_distributions","NA","NA",NA,NA,1,1,19,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"7","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ show_lack_of_respect_for_local_cultures @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","show_lack_of_respect_for_local_cultures","NA","NA",NA,NA,1,1,1,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"8","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ are_disrespectful_in_their_interactions_with_individual_members_of_our_community @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","are_disrespectful_in_their_interactions_with_individual_members_of_our_community","NA","NA",NA,NA,1,1,4,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"9","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ asked_for_favors_in_exchange_for_the_aid_service @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","asked_for_favors_in_exchange_for_the_aid_service","NA","NA",NA,NA,1,1,0,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"10","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ other @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","other","NA","NA",NA,NA,1,1,2,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"11","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ dont_know @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","dont_know","NA","NA",NA,NA,1,1,2,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"12","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ prefer_not_to_answer @/@ NA ~/~ NA","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","prefer_not_to_answer","NA","NA",NA,NA,1,1,2,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"13","mean @/@ i_fcs ~/~ NA @/@ NA ~/~ NA","mean","i_fcs","NA","NA","NA",NA,NA,1,1,59.8645003620565,"Food Security","Average food security score","HH_data",NA,NA
"14","prop_select_one @/@ i_fcs_category ~/~ Acceptable @/@ NA ~/~ NA","prop_select_one","i_fcs_category","Acceptable","NA","NA",NA,NA,1,1,78,"Food Security","Proportion of FCS","HH_data",NA,NA
"15","prop_select_one @/@ i_fcs_category ~/~ Borderline @/@ NA ~/~ NA","prop_select_one","i_fcs_category","Borderline","NA","NA",NA,NA,1,1,15,"Food Security","Proportion of FCS","HH_data",NA,NA
"16","prop_select_one @/@ i_fcs_category ~/~ Poor @/@ NA ~/~ NA","prop_select_one","i_fcs_category","Poor","NA","NA",NA,NA,1,1,7,"Food Security","Proportion of FCS","HH_data",NA,NA
"17","mean @/@ i_rcsi ~/~ NA @/@ NA ~/~ NA","mean","i_rcsi","NA","NA","NA",NA,NA,1,1,11.6891676974731,"Food Security","RCSI","HH_data",NA,NA
"18","prop_select_one @/@ i_rcsi_cat ~/~ High @/@ NA ~/~ NA","prop_select_one","i_rcsi_cat","High","NA","NA",NA,NA,1,1,23,"Food Security","RCSI_CAT","HH_data",NA,NA
"19","prop_select_one @/@ i_rcsi_cat ~/~ Low @/@ NA ~/~ NA","prop_select_one","i_rcsi_cat","Low","NA","NA",NA,NA,1,1,33,"Food Security","RCSI_CAT","HH_data",NA,NA
"20","prop_select_one @/@ i_rcsi_cat ~/~ Medium @/@ NA ~/~ NA","prop_select_one","i_rcsi_cat","Medium","NA","NA",NA,NA,1,1,44,"Food Security","RCSI_CAT","HH_data",NA,NA
"21","mean @/@ hhs_score ~/~ NA @/@ NA ~/~ NA","mean","hhs_score","NA","NA","NA",NA,NA,1,1,0.333747559027161,"Food Security","HHS","HH_data",NA,NA
"22","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ pop_group ~/~ lebanese","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_listen_to_anyone_in_our_community","pop_group","lebanese",NA,NA,1,1,28,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"23","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ pop_group ~/~ migrant","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_listen_to_anyone_in_our_community","pop_group","migrant",NA,NA,1,1,46,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"24","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_listen_to_anyone_in_our_community @/@ pop_group ~/~ prl","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_listen_to_anyone_in_our_community","pop_group","prl",NA,NA,1,1,37,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"25","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_speak_to_anyone_in_our_community @/@ pop_group ~/~ lebanese","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_speak_to_anyone_in_our_community","pop_group","lebanese",NA,NA,1,1,21,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"26","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_speak_to_anyone_in_our_community @/@ pop_group ~/~ migrant","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_speak_to_anyone_in_our_community","pop_group","migrant",NA,NA,1,1,31,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"27","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_speak_to_anyone_in_our_community @/@ pop_group ~/~ prl","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_speak_to_anyone_in_our_community","pop_group","prl",NA,NA,1,1,24,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"28","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_listen_to_local_leaders_head_men @/@ pop_group ~/~ lebanese","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","only_listen_to_local_leaders_head_men","pop_group","lebanese",NA,NA,1,1,24,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"29","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_listen_to_local_leaders_head_men @/@ pop_group ~/~ migrant","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","only_listen_to_local_leaders_head_men","pop_group","migrant",NA,NA,1,1,6,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"30","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_listen_to_local_leaders_head_men @/@ pop_group ~/~ prl","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","only_listen_to_local_leaders_head_men","pop_group","prl",NA,NA,1,1,20,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"31","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_speak_to_local_leaders_head_men @/@ pop_group ~/~ lebanese","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","only_speak_to_local_leaders_head_men","pop_group","lebanese",NA,NA,1,1,17,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"32","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_speak_to_local_leaders_head_men @/@ pop_group ~/~ migrant","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","only_speak_to_local_leaders_head_men","pop_group","migrant",NA,NA,1,1,2,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"33","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ only_speak_to_local_leaders_head_men @/@ pop_group ~/~ prl","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","only_speak_to_local_leaders_head_men","pop_group","prl",NA,NA,1,1,12,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"34","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ when_we_give_them_feedback_or_make_complaints_nothing_changes @/@ pop_group ~/~ lebanese","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","when_we_give_them_feedback_or_make_complaints_nothing_changes","pop_group","lebanese",NA,NA,1,1,29,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"35","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ when_we_give_them_feedback_or_make_complaints_nothing_changes @/@ pop_group ~/~ migrant","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","when_we_give_them_feedback_or_make_complaints_nothing_changes","pop_group","migrant",NA,NA,1,1,13,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"36","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ when_we_give_them_feedback_or_make_complaints_nothing_changes @/@ pop_group ~/~ prl","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","when_we_give_them_feedback_or_make_complaints_nothing_changes","pop_group","prl",NA,NA,1,1,17,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"37","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_provide_enough_information_about_registration_eligibility_or_distributions @/@ pop_group ~/~ lebanese","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_provide_enough_information_about_registration_eligibility_or_distributions","pop_group","lebanese",NA,NA,1,1,21,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"38","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_provide_enough_information_about_registration_eligibility_or_distributions @/@ pop_group ~/~ migrant","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_provide_enough_information_about_registration_eligibility_or_distributions","pop_group","migrant",NA,NA,1,1,14,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
"39","prop_select_multiple @/@ reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave ~/~ do_not_provide_enough_information_about_registration_eligibility_or_distributions @/@ pop_group ~/~ prl","prop_select_multiple","reason_hh_not_satisfied_with_the_way_aid_workers_generally_behave","do_not_provide_enough_information_about_registration_eligibility_or_distributions","pop_group","prl",NA,NA,1,1,7,"Livelihood","If not satisfied, why not?","HH_data","If not satisfied, why not?","إذا لم تكن راضيا ، فلماذا لا؟"
